longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity_num,rooms_per_household,bedrooms_per_room,population_per_household,Price
-122.08,35.98,50.5,1819.0,403.0,1326.0,493.0,3.6372,2,3.6888,0.2213,2.6889,199998.0
-117.87,33.85,50.4,1662.0,275.0,572.0,282.0,4.5786,2,5.8965,0.1656,2.0278,268803.57
-122.6,39.03,47.2,3293.0,519.0,862.0,311.0,1.0434,0,10.5985,0.1576,2.7752,106598.72
-117.41,37.05,19.4,2370.0,550.0,2660.0,1164.0,11.4145,0,2.0366,0.2321,2.2859,500001.0
-120.47,35.38,19.8,2930.0,643.0,1167.0,428.0,7.0015,0,6.8369,0.2195,2.7243,374637.93
-114.95,36.94,44.5,1575.0,379.0,363.0,167.0,9.1737,1,9.4177,0.2407,2.1684,500001.0
-122.97,34.51,38.2,2402.0,580.0,1552.0,644.0,4.6689,2,3.7283,0.2415,2.4086,345643.46
-120.93,41.25,36.9,6431.0,1188.0,655.0,284.0,8.6087,0,22.657,0.1847,2.3083,500001.0
-123.21,33.05,15.3,705.0,128.0,437.0,135.0,7.0952,1,5.2403,0.1819,3.2512,412899.01
-115.07,40.68,43.5,499.0,97.0,1173.0,525.0,5.9021,1,0.951,0.1942,2.2364,256833.86
-115.54,37.35,30.6,2824.0,612.0,559.0,198.0,4.2633,0,14.2665,0.2166,2.8265,254547.43
-121.76,38.36,23.8,998.0,150.0,2101.0,901.0,6.4134,0,1.1083,0.1505,2.3323,288140.86
-117.72,35.39,45.1,687.0,140.0,1179.0,452.0,6.8736,2,1.5194,0.2035,2.6053,406284.06
-116.15,41.64,21.1,2627.0,399.0,3214.0,1170.0,7.1597,0,2.2454,0.152,2.7464,343624.93
-118.78,35.19,34.4,895.0,175.0,1448.0,536.0,4.6391,1,1.6705,0.1951,2.7018,205360.72
-119.03,38.08,24.8,5310.0,840.0,737.0,238.0,3.9782,3,22.2944,0.1582,3.093,360512.7
-121.92,41.89,31.2,2017.0,416.0,729.0,238.0,5.264,1,8.4704,0.2062,3.0613,308685.16
-123.42,40.83,3.1,1569.0,285.0,821.0,266.0,5.831,1,5.9042,0.1814,3.0906,304009.72
-115.34,37.59,24.5,1017.0,201.0,1628.0,708.0,7.9246,2,1.4374,0.1979,2.2998,346820.56
-115.31,41.86,29.4,2102.0,517.0,346.0,123.0,2.973,1,17.0561,0.2458,2.8082,297185.59
-117.99,39.14,26.1,594.0,109.0,1365.0,671.0,2.7346,0,0.8844,0.1841,2.0326,89689.09
-120.95,34.5,44.2,321.0,71.0,526.0,244.0,4.4969,0,1.317,0.2219,2.1547,190833.74
-120.84,36.36,16.9,609.0,133.0,6582.0,2429.0,4.4533,0,0.2508,0.2183,2.7097,242916.86
-117.06,35.69,46.1,4008.0,949.0,1706.0,688.0,4.5054,0,5.8259,0.2369,2.4803,246224.96
-115.34,35.78,21.6,947.0,174.0,1846.0,844.0,13.8149,0,1.1223,0.1834,2.1882,500001.0
-115.44,39.7,36.4,662.0,103.0,1163.0,383.0,11.0787,2,1.7305,0.1556,3.0373,500001.0
-116.52,38.04,5.4,1699.0,420.0,306.0,103.0,6.8099,1,16.4943,0.2471,2.9716,500001.0
-117.9,32.9,11.2,8581.0,1598.0,1113.0,418.0,3.6814,1,20.5174,0.1862,2.6614,289778.55
-123.51,40.8,39.8,3883.0,658.0,1499.0,606.0,6.9747,3,6.4032,0.1694,2.4723,445978.08
-122.73,35.33,1.6,1032.0,249.0,695.0,226.0,4.1442,1,4.5674,0.2414,3.073,273476.3
-115.33,41.92,50.4,1020.0,172.0,1031.0,406.0,5.5626,1,2.5136,0.1691,2.5425,268697.81
-118.26,41.52,10.7,1036.0,210.0,1817.0,616.0,4.9851,1,1.6802,0.2029,2.9478,228461.67
-124.26,41.39,47.0,956.0,216.0,1199.0,570.0,3.5351,0,1.6758,0.2256,2.1017,150312.7
-123.33,40.17,27.3,2646.0,590.0,1363.0,664.0,1.9783,3,3.985,0.2231,2.0532,85087.52
-117.69,34.62,29.8,1429.0,219.0,1669.0,746.0,2.2021,3,1.915,0.1529,2.2365,236560.19
-124.3,37.55,5.3,829.0,141.0,2946.0,964.0,6.8731,3,0.86,0.1702,3.0543,355861.33
-122.74,34.65,19.6,710.0,169.0,563.0,246.0,5.3373,0,2.8807,0.2388,2.2856,279485.17
-118.84,34.98,9.0,9052.0,1859.0,5175.0,2111.0,8.1186,0,4.2881,0.2053,2.4517,458728.78
-117.4,38.29,27.8,3032.0,663.0,5166.0,2427.0,6.6923,1,1.2493,0.2187,2.1281,299686.05
-117.8,32.92,29.1,993.0,189.0,704.0,265.0,13.4204,1,3.7471,0.1902,2.6575,500001.0
-122.1,41.66,37.2,4224.0,948.0,1878.0,932.0,5.4817,0,4.5347,0.2245,2.0156,268327.9
-117.2,41.18,45.8,807.0,144.0,4710.0,2168.0,4.683,0,0.3723,0.1789,2.1729,227341.09
-121.97,36.12,24.9,1643.0,284.0,3472.0,1182.0,2.9646,0,1.3896,0.1732,2.9373,128162.26
-121.08,37.39,12.9,1521.0,380.0,278.0,120.0,5.4411,1,12.6339,0.2497,2.3046,286203.62
-116.86,36.93,18.0,2054.0,341.0,970.0,392.0,6.2553,0,5.2458,0.1658,2.4768,255895.64
-117.83,40.84,44.2,935.0,232.0,733.0,328.0,4.4099,1,2.8521,0.2481,2.2367,215976.24
-115.82,39.02,8.4,1978.0,480.0,2175.0,816.0,6.0771,3,2.4245,0.2427,2.6659,281589.2
-117.75,35.16,33.0,532.0,118.0,2337.0,707.0,5.2688,3,0.7517,0.2215,3.3036,222831.26
-118.64,36.74,1.7,1389.0,289.0,426.0,161.0,10.1485,0,8.6346,0.2082,2.6489,500001.0
-123.41,36.58,13.5,4604.0,693.0,623.0,269.0,5.0379,3,17.1255,0.1505,2.3167,454015.47
-120.66,41.57,31.2,3706.0,791.0,311.0,102.0,5.0168,1,36.4395,0.2135,3.0596,500001.0
-121.69,34.19,24.3,1111.0,252.0,1022.0,498.0,6.1769,1,2.229,0.2272,2.0504,334352.47
-121.9,33.38,26.2,621.0,139.0,871.0,320.0,11.9472,1,1.9416,0.2233,2.7223,500001.0
-114.58,40.83,34.7,392.0,66.0,1590.0,665.0,5.0399,1,0.59,0.1672,2.3923,258755.98
-120.4,40.98,13.0,2786.0,570.0,4646.0,1497.0,3.8284,0,1.8614,0.2045,3.1042,110424.0
-115.39,40.74,15.3,2197.0,450.0,1358.0,414.0,5.713,2,5.3029,0.205,3.2789,382163.17
-118.01,37.35,35.9,2368.0,510.0,863.0,349.0,4.3893,0,6.7793,0.2153,2.471,211138.6
-116.37,38.75,28.5,5904.0,1376.0,2086.0,823.0,2.6312,0,7.1732,0.2331,2.5348,131584.75
-119.3,37.84,1.7,2012.0,442.0,828.0,414.0,7.1515,0,4.8646,0.2198,2.0018,305157.57
-118.56,33.19,35.2,2121.0,348.0,950.0,442.0,2.2125,0,4.8039,0.1641,2.151,108254.27
-119.41,38.15,32.6,680.0,103.0,1260.0,555.0,3.0783,0,1.2243,0.1519,2.2697,101278.26
-122.39,32.67,5.0,5635.0,922.0,423.0,181.0,3.9198,0,31.1224,0.1637,2.3359,382159.92
-117.1,35.6,39.1,1612.0,248.0,857.0,419.0,7.9493,1,3.8473,0.154,2.045,394316.9
-121.53,41.31,27.6,1021.0,198.0,579.0,277.0,6.3485,3,3.6836,0.1937,2.0894,341515.61
-124.11,35.4,11.4,2091.0,373.0,2091.0,669.0,10.3788,0,3.1264,0.1784,3.1267,467836.2
-117.87,41.38,29.5,7334.0,1105.0,481.0,175.0,6.3202,0,41.9904,0.1507,2.7554,500001.0
-122.57,34.89,31.4,8060.0,1274.0,517.0,177.0,4.4682,0,45.4538,0.158,2.9165,500001.0
-114.91,35.5,47.9,917.0,174.0,621.0,270.0,2.2067,0,3.3998,0.1898,2.3043,103766.67
-114.77,38.45,38.8,4117.0,1004.0,586.0,276.0,4.2253,1,14.9147,0.244,2.1241,366899.02
